WBAN	Date	Time	StationType	SkyCondition	ConvertSky	SC1	SC2	SC3	SkyConditionFlag	Visibility	WeatherType	DryBulbFarenheit	DryBulbCelsius	RelativeHumidity	WindSpeed	WindSpeedFlag	HourlyPrecip	HourlyPrecipFlag	RealDate	TimeCheck
24229	20120101	1653	11	SCT160 BKN250	6	SCT	BKN	0	 	10	 	49	9.4	44	21	 	 	 	1/1/12	1653
24229	20120101	1753	11	SCT160 BKN250	6	SCT	BKN	0	 	10	 	48	8.9	46	20	 	 	 	1/1/12	1753
24229	20120101	1853	11	FEW160 BKN250	6	FEW	BKN	0	 	10	 	48	8.9	46	23	 	 	 	1/1/12	1853
24229	20120101	1953	11	FEW160 BKN250	6	FEW	BKN	0	 	10	 	48	8.9	46	18	 	 	 	1/1/12	1953
24229	20120101	2053	11	FEW160 BKN250	6	FEW	BKN	0	 	10	 	48	8.9	46	22	 	 	 	1/1/12	2053
24229	20120101	2153	11	FEW160 BKN250	6	FEW	BKN	0	 	10	 	48	8.9	46	22	 	 	 	1/1/12	2153
24229	20120101	2253	11	FEW160 BKN250	6	FEW	BKN	0	 	10	 	47	8.3	48	14	 	 	 	1/1/12	2253
24229	20120101	2353	11	FEW150 SCT250	4	FEW	SCT	0	 	10	 	46	7.8	50	14	 	 	 	1/1/12	2353
24229	20120102	53	11	FEW150 SCT250	4	FEW	SCT	0	 	10	 	45	7.2	51	11	 	 	 	1/2/12	53
24229	20120102	153	11	FEW150 SCT250	4	FEW	SCT	0	 	10	 	45	7.2	51	10	 	 	 	1/2/12	153
24229	20120102	253	11	FEW150 OVC250	8	FEW	OVC	0	 	10	 	44	6.7	56	10	 	 	 	1/2/12	253
24229	20120102	353	11	FEW150 OVC250	8	FEW	OVC	0	 	10	 	41	5	65	0	 	 	 	1/2/12	353
24229	20120102	453	11	FEW150 OVC250	8	FEW	OVC	0	 	10	 	39	3.9	76	0	 	 	 	1/2/12	453
24229	20120102	553	11	FEW150 OVC250	8	FEW	OVC	0	 	10	 	40	4.4	70	5	 	 	 	1/2/12	553
24229	20120102	653	11	BKN150 OVC250	8	BKN	OVC	0	 	10	 	38	3.3	79	5	 	 	 	1/2/12	653
24229	20120102	753	11	BKN150 OVC250	8	BKN	OVC	0	 	10	 	38	3.3	82	5	 	 	 	1/2/12	753
24229	20120102	853	11	BKN150 OVC250	8	BKN	OVC	0	 	10	 	42	5.6	60	13	 	 	 	1/2/12	853
24229	20120102	953	11	SCT150 BKN250	6	SCT	BKN	0	 	10	 	43	6.1	58	21	 	 	 	1/2/12	953
24229	20120102	1053	11	FEW060 SCT150 BKN250	6	FEW	SCT	BKN	 	10	 	44	6.7	56	24	 	 	 	1/2/12	1053
24229	20120102	1153	11	BKN060 OVC100	8	BKN	OVC	0	 	10	#NAME?	43	6.1	71	17	 	  T	 	1/2/12	1153
24229	20120102	1253	11	BKN060 OVC080	8	BKN	OVC	0	 	10	 	45	7.2	63	17	 	  T	 	1/2/12	1253
24229	20120102	1353	11	FEW030 BKN065 OVC100	8	FEW	BKN	OVC	 	9	#NAME?	47	8.3	61	15	 	  T	 	1/2/12	1353
24229	20120102	1453	11	FEW030 BKN065 OVC090	8	FEW	BKN	OVC	 	10	#NAME?	53	11.7	69	20	 	  T	 	1/2/12	1453
24229	20120102	1553	11	FEW019 BKN048 BKN060	6	FEW	BKN	BKN	 	8	#NAME?	52	11.1	80	20	 	  T	 	1/2/12	1553
24229	20120102	1653	11	SCT019 BKN031 OVC070	8	SCT	BKN	OVC	 	10	 	52	11.1	80	9	 	 	 	1/2/12	1653
24229	20120102	1753	11	FEW016 SCT032 OVC065	8	FEW	SCT	OVC	 	10	 	52	11.1	83	10	 	  T	 	1/2/12	1753
24229	20120102	1853	11	SCT016 BKN065	6	SCT	BKN	0	 	10	 	51	10.6	86	10	 	 	 	1/2/12	1853
24229	20120102	1953	11	FEW015 BKN050 OVC070	8	FEW	BKN	OVC	 	10	 	51	10.6	86	14	 	  T	 	1/2/12	1953
24229	20120102	2053	11	FEW020 SCT050	4	FEW	SCT	0	 	10	 	49	9.4	89	9	 	 	 	1/2/12	2053
24229	20120102	2153	11	FEW015 SCT050	4	FEW	SCT	0	 	10	 	48	8.9	89	0	 	 	 	1/2/12	2153
24229	20120102	2253	11	BKN032 OVC044	8	BKN	OVC	0	 	10	 	47	8.3	89	5	 	 	 	1/2/12	2253
24229	20120102	2353	11	OVC030	8	OVC	0	0	 	10	 	49	9.4	89	5	 	 	 	1/2/12	2353
24229	20120103	53	11	FEW035 BKN055 BKN070	6	FEW	BKN	BKN	 	10	 	48	8.9	89	7	 	 	 	1/3/12	53
24229	20120103	153	11	FEW013 SCT034 OVC065	8	FEW	SCT	OVC	 	10	#NAME?	49	9.4	89	5	 	  T	 	1/3/12	153
24229	20120103	253	11	SCT038 BKN060	6	SCT	BKN	0	 	10	 	45	7.2	93	5	 	 	 	1/3/12	253
24229	20120103	353	11	OVC032	8	OVC	0	0	 	10	 	46	7.8	93	7	 	 	 	1/3/12	353
24229	20120103	453	11	BKN022	6	BKN	0	0	 	10	 	47	8.3	93	8	 	 	 	1/3/12	453
24229	20120103	553	11	FEW029 OVC035	8	FEW	OVC	0	 	10	 	47	8.3	89	13	 	 	 	1/3/12	553
24229	20120103	653	11	SCT030 BKN048 BKN250	6	SCT	BKN	BKN	 	10	 	44	6.7	89	10	 	 	 	1/3/12	653
24229	20120103	753	11	SCT048 BKN250	6	SCT	BKN	0	 	10	 	44	6.7	89	10	 	 	 	1/3/12	753
24229	20120103	853	11	FEW060 SCT150 BKN250	6	FEW	SCT	BKN	 	10	 	44	6.7	89	14	 	 	 	1/3/12	853
24229	20120103	953	11	FEW060 SCT150 BKN250	6	FEW	SCT	BKN	 	10	 	45	7.2	86	10	 	 	 	1/3/12	953
24229	20120103	1053	11	BKN200 OVC250	8	BKN	OVC	0	 	10	 	47	8.3	86	7	 	 	 	1/3/12	1053
24229	20120103	1153	11	BKN200	6	BKN	0	0	 	10	 	49	9.4	80	7	 	 	 	1/3/12	1153
24229	20120103	1253	11	FEW100 BKN200	6	FEW	BKN	0	 	10	 	49	9.4	80	9	 	 	 	1/3/12	1253
24229	20120103	1353	11	BKN150	6	BKN	0	0	 	10	 	50	10	77	10	 	 	 	1/3/12	1353
24229	20120103	1453	11	BKN120 BKN250	6	BKN	BKN	0	 	10	 	50	10	77	11	 	 	 	1/3/12	1453
24229	20120103	1553	11	BKN120 BKN250	6	BKN	BKN	0	 	10	 	49	9.4	80	6	 	 	 	1/3/12	1553
24229	20120103	1653	11	BKN120 BKN250	6	BKN	BKN	0	 	10	 	49	9.4	77	15	 	 	 	1/3/12	1653
24229	20120103	1753	11	SCT120 BKN250	6	SCT	BKN	0	 	10	 	47	8.3	83	11	 	 	 	1/3/12	1753
24229	20120103	1853	11	FEW120 BKN250	6	FEW	BKN	0	 	10	 	47	8.3	83	11	 	 	 	1/3/12	1853
24229	20120103	1953	11	SCT120 BKN250	6	SCT	BKN	0	 	10	 	47	8.3	86	13	 	 	 	1/3/12	1953
24229	20120103	2053	11	SCT085 BKN120 BKN250	6	SCT	BKN	BKN	 	10	 	46	7.8	86	11	 	 	 	1/3/12	2053
24229	20120103	2153	11	SCT090 BKN250	6	SCT	BKN	0	 	10	 	46	7.8	86	14	 	 	 	1/3/12	2153
24229	20120103	2253	11	BKN250	6	BKN	0	0	 	10	 	44	6.7	89	7	 	 	 	1/3/12	2253
24229	20120103	2353	11	BKN250	6	BKN	0	0	 	10	 	45	7.2	86	9	 	 	 	1/3/12	2353
24229	20120104	53	11	BKN250	6	BKN	0	0	 	10	 	45	7.2	86	7	 	 	 	1/4/12	53
24229	20120104	153	11	FEW150 BKN250	6	FEW	BKN	0	 	10	 	43	6.1	86	7	 	 	 	1/4/12	153
24229	20120104	253	11	SCT090 BKN250	6	SCT	BKN	0	 	10	 	44	6.7	86	9	 	 	 	1/4/12	253
24229	20120104	353	11	SCT100 BKN250	6	SCT	BKN	0	 	10	 	44	6.7	86	13	 	 	 	1/4/12	353
24229	20120104	453	11	BKN250	6	BKN	0	0	 	10	 	43	6.1	83	6	 	 	 	1/4/12	453
24229	20120104	553	11	BKN250	6	BKN	0	0	 	10	 	44	6.7	83	14	 	 	 	1/4/12	553
24229	20120104	653	11	BKN250	6	BKN	0	0	 	10	 	44	6.7	83	17	 	 	 	1/4/12	653
24229	20120104	753	11	SCT250	4	SCT	0	0	 	10	 	43	6.1	86	10	 	 	 	1/4/12	753
24229	20120104	853	11	FEW200 BKN250	6	FEW	BKN	0	 	10	 	44	6.7	83	15	 	 	 	1/4/12	853
24229	20120104	953	11	FEW200 BKN250	6	FEW	BKN	0	 	10	 	45	7.2	80	14	 	 	 	1/4/12	953
24229	20120104	1053	11	BKN095 BKN250	6	BKN	BKN	0	 	10	 	47	8.3	77	9	 	 	 	1/4/12	1053
24229	20120104	1153	11	OVC095	8	OVC	0	0	 	10	 	48	8.9	74	7	 	 	 	1/4/12	1153
24229	20120104	1253	11	BKN060 OVC085	8	BKN	OVC	0	 	10	 	49	9.4	74	8	 	 	 	1/4/12	1253
24229	20120104	1353	11	BKN050 OVC090	8	BKN	OVC	0	 	10	#NAME?	49	9.4	77	8	 	  T	 	1/4/12	1353
24229	20120104	1453	11	FEW035 BKN047 OVC070	8	FEW	BKN	OVC	 	8	#NAME?	47	8.3	80	0	 	0.02	 	1/4/12	1453
24229	20120104	1553	11	SCT027 BKN044 OVC055	8	SCT	BKN	OVC	 	3	#NAME?	47	8.3	89	10	 	0.02	 	1/4/12	1553
24229	20120104	1653	11	FEW015 BKN044 OVC055	8	FEW	BKN	OVC	 	10	 	51	10.6	93	10	 	0.05	 	1/4/12	1653
24229	20120104	1753	11	FEW013 BKN055 OVC080	8	FEW	BKN	OVC	 	10	#NAME?	51	10.6	93	13	 	0.03	 	1/4/12	1753
24229	20120104	1853	11	FEW013 BKN075 OVC100	8	FEW	BKN	OVC	 	10	 	53	11.7	90	13	 	0.01	 	1/4/12	1853
24229	20120104	1953	11	SCT013 BKN040 OVC090	8	SCT	BKN	OVC	 	7	#NAME?	53	11.7	90	13	 	0.01	 	1/4/12	1953
24229	20120104	2053	11	SCT013 BKN045 OVC075	8	SCT	BKN	OVC	 	9	#NAME?	53	11.7	90	13	 	0.02	 	1/4/12	2053
24229	20120104	2153	11	FEW013 BKN050 OVC080	8	FEW	BKN	OVC	 	10	 	53	11.7	83	3	 	 	 	1/4/12	2153
24229	20120104	2253	11	FEW013 SCT080 BKN200	6	FEW	SCT	BKN	 	10	 	51	10.6	80	3	 	 	 	1/4/12	2253
24229	20120104	2353	11	SCT100 BKN250	6	SCT	BKN	0	 	10	 	49	9.4	74	0	 	 	 	1/4/12	2353
24229	20120105	53	11	BKN060 BKN100	6	BKN	BKN	0	 	10	#NAME?	50	10	71	8	 	  T	 	1/5/12	53
24229	20120105	153	11	SCT065 SCT250	4	SCT	SCT	0	 	10	 	47	8.3	83	5	 	  T	 	1/5/12	153
24229	20120105	253	11	BKN065	6	BKN	0	0	 	10	 	45	7.2	86	5	 	 	 	1/5/12	253
24229	20120105	353	11	FEW065 BKN085	6	FEW	BKN	0	 	10	 	44	6.7	89	6	 	 	 	1/5/12	353
24229	20120105	453	11	FEW032 BKN050 BKN065	6	FEW	BKN	BKN	 	9	#NAME?	48	8.9	77	10	 	  T	 	1/5/12	453
24229	20120105	553	11	BKN043 OVC055	8	BKN	OVC	0	 	10	 	46	7.8	86	7	 	  T	 	1/5/12	553
24229	20120105	653	11	SCT035 BKN070 OVC100	8	SCT	BKN	OVC	 	10	 	46	7.8	83	8	 	0.02	 	1/5/12	653
24229	20120105	753	11	FEW035 SCT070	4	FEW	SCT	0	 	10	 	45	7.2	83	3	 	  T	 	1/5/12	753
24229	20120105	853	11	FEW030 SCT044 BKN060	6	FEW	SCT	BKN	 	10	 	46	7.8	83	5	 	 	 	1/5/12	853
24229	20120105	953	11	FEW017 SCT070 BKN085	6	FEW	SCT	BKN	 	10	 	47	8.3	83	3	 	 	 	1/5/12	953
24229	20120105	1053	11	FEW017 SCT080 SCT250	4	FEW	SCT	SCT	 	10	 	48	8.9	74	3	 	 	 	1/5/12	1053
24229	20120105	1153	11	SCT040 BKN075 BKN085	6	SCT	BKN	BKN	 	10	 	49	9.4	71	8	 	 	 	1/5/12	1153
24229	20120105	1253	11	SCT048 BKN075	6	SCT	BKN	0	 	10	 	50	10	64	7	 	 	 	1/5/12	1253
24229	20120105	1353	11	SCT048 BKN075	6	SCT	BKN	0	 	10	 	48	8.9	68	5	 	 	 	1/5/12	1353
24229	20120105	1453	11	SCT035 SCT250	4	SCT	SCT	0	 	10	 	50	10	59	5	 	 	 	1/5/12	1453
24229	20120105	1553	11	SCT045 BKN060	6	SCT	BKN	0	 	10	 	49	9.4	66	6	 	  T	 	1/5/12	1553
24229	20120105	1653	11	SCT045 BKN060	6	SCT	BKN	0	 	10	#NAME?	46	7.8	71	5	 	  T	 	1/5/12	1653
24229	20120105	1753	11	FEW045 BKN065	6	FEW	BKN	0	 	10	 	44	6.7	74	3	 	 	 	1/5/12	1753
24229	20120105	1853	11	FEW065	2	FEW	0	0	 	10	 	41	5	82	0	 	 	 	1/5/12	1853
24229	20120105	1953	11	CLR	0	CLR	0	0	 	10	 	39	3.9	86	0	 	 	 	1/5/12	1953
24229	20120105	2053	11	CLR	0	CLR	0	0	 	10	 	38	3.3	89	3	 	 	 	1/5/12	2053
24229	20120105	2153	11	CLR	0	CLR	0	0	 	9	 	36	2.2	92	0	 	 	 	1/5/12	2153
24229	20120105	2253	11	CLR	0	CLR	0	0	 	6	BR	35	1.7	92	5	 	 	 	1/5/12	2253
24229	20120105	2353	11	FEW030 BKN065	6	FEW	BKN	0	 	4	BR	35	1.7	96	3	 	 	 	1/5/12	2353
24229	20120106	53	11	SCT028 BKN065	6	SCT	BKN	0	 	3	BR	32	0	92	0	 	 	 	1/6/12	53
24229	20120106	153	11	BKN002 OVC009	8	BKN	OVC	0	 	0.5	FG	34	1.1	96	0	 	 	 	1/6/12	153
24229	20120106	253	11	BKN002 OVC009	8	BKN	OVC	0	 	0.5	FG	35	1.7	96	6	 	 	 	1/6/12	253
24229	20120106	353	11	VV002	8	VV0	0	0	 	0.12	FG	35	1.7	96	0	 	 	 	1/6/12	353
24229	20120106	453	11	BKN003 OVC008	8	BKN	OVC	0	 	0.5	BR	35	1.7	92	0	 	 	 	1/6/12	453
24229	20120106	553	11	SCT003 OVC008	8	SCT	OVC	0	 	1.5	BR	34	1.1	96	0	 	 	 	1/6/12	553
24229	20120106	653	11	BKN003 OVC008	8	BKN	OVC	0	 	1	BR	35	1.7	96	0	 	 	 	1/6/12	653
24229	20120106	753	11	OVC003	8	OVC	0	0	 	1.5	BR	35	1.7	92	0	 	 	 	1/6/12	753
24229	20120106	853	11	OVC003	8	OVC	0	0	 	0.75	BR	34	1.1	96	0	 	 	 	1/6/12	853
24229	20120106	953	11	OVC003	8	OVC	0	0	 	0.25	FG	35	1.7	96	0	 	 	 	1/6/12	953
24229	20120106	1053	11	OVC003	8	OVC	0	0	 	0.5	BR	36	2.2	92	0	 	 	 	1/6/12	1053
24229	20120106	1153	11	OVC003	8	OVC	0	0	 	1	BR	37	2.8	93	3	 	 	 	1/6/12	1153
24229	20120106	1253	11	OVC005	8	OVC	0	0	 	1	BR	37	2.8	93	3	 	 	 	1/6/12	1253
24229	20120106	1353	11	OVC005	8	OVC	0	0	 	2	BR	38	3.3	89	7	 	 	 	1/6/12	1353
24229	20120106	1453	11	OVC005	8	OVC	0	0	 	2	#NAME?	38	3.3	93	7	 	  T	 	1/6/12	1453
24229	20120106	1553	11	OVC005	8	OVC	0	0	 	3	#NAME?	39	3.9	93	6	 	0.02	 	1/6/12	1553
24229	20120106	1653	11	BKN008 BKN016 OVC022	8	BKN	BKN	OVC	 	3	#NAME?	39	3.9	89	6	 	0.02	 	1/6/12	1653
24229	20120106	1753	11	BKN010 BKN020 OVC030	8	BKN	BKN	OVC	 	7	#NAME?	38	3.3	89	7	 	0.03	 	1/6/12	1753
24229	20120106	1853	11	FEW010 BKN019 OVC023	8	FEW	BKN	OVC	 	6	#NAME?	38	3.3	89	6	 	0.03	 	1/6/12	1853
24229	20120106	1953	11	BKN009 OVC012	8	BKN	OVC	0	 	5	#NAME?	37	2.8	96	7	 	0.01	 	1/6/12	1953
24229	20120106	2053	11	BKN009 OVC019	8	BKN	OVC	0	 	4	BR	37	2.8	93	10	 	0.01	 	1/6/12	2053
24229	20120106	2153	11	BKN006 OVC015	8	BKN	OVC	0	 	9	 	38	3.3	93	8	 	 	 	1/6/12	2153
24229	20120106	2253	11	SCT008 OVC015	8	SCT	OVC	0	 	10	 	38	3.3	93	6	 	 	 	1/6/12	2253
24229	20120106	2353	11	FEW008 SCT017 OVC023	8	FEW	SCT	OVC	 	10	 	38	3.3	93	7	 	 	 	1/6/12	2353
24229	20120107	53	11	OVC015	8	OVC	0	0	 	9	 	39	3.9	93	6	 	  T	 	1/7/12	53
24229	20120107	153	11	BKN010 OVC013	8	BKN	OVC	0	 	10	 	38	3.3	96	8	 	  T	 	1/7/12	153
24229	20120107	253	11	FEW004 OVC013	8	FEW	OVC	0	 	10	 	39	3.9	93	8	 	 	 	1/7/12	253
24229	20120107	353	11	FEW004 OVC011	8	FEW	OVC	0	 	10	 	39	3.9	93	6	 	 	 	1/7/12	353
24229	20120107	453	11	FEW004 OVC011	8	FEW	OVC	0	 	10	 	39	3.9	93	6	 	 	 	1/7/12	453
24229	20120107	553	11	OVC013	8	OVC	0	0	 	10	 	39	3.9	93	6	 	 	 	1/7/12	553
24229	20120107	653	11	OVC013	8	OVC	0	0	 	10	 	40	4.4	93	6	 	 	 	1/7/12	653
24229	20120107	753	11	OVC013	8	OVC	0	0	 	10	 	40	4.4	93	5	 	 	 	1/7/12	753
24229	20120107	853	11	FEW008 OVC013	8	FEW	OVC	0	 	10	 	40	4.4	93	8	 	 	 	1/7/12	853
24229	20120107	953	11	OVC013	8	OVC	0	0	 	7	 	42	5.6	89	6	 	 	 	1/7/12	953
24229	20120107	1053	11	FEW005 OVC013	8	FEW	OVC	0	 	10	 	43	6.1	89	7	 	 	 	1/7/12	1053
24229	20120107	1153	11	OVC017	8	OVC	0	0	 	10	 	44	6.7	89	7	 	 	 	1/7/12	1153
24229	20120107	1253	11	OVC017	8	OVC	0	0	 	10	 	45	7.2	83	5	 	 	 	1/7/12	1253
24229	20120107	1353	11	SCT017 OVC023	8	SCT	OVC	0	 	10	 	46	7.8	80	0	 	 	 	1/7/12	1353
24229	20120107	1453	11	SCT023 BKN150 OVC250	8	SCT	BKN	OVC	 	10	 	47	8.3	74	0	 	 	 	1/7/12	1453
24229	20120107	1553	11	SCT021 BKN150 BKN250	6	SCT	BKN	BKN	 	10	 	46	7.8	77	3	 	 	 	1/7/12	1553
24229	20120107	1653	11	SCT020 BKN150 BKN250	6	SCT	BKN	BKN	 	10	 	43	6.1	86	0	 	 	 	1/7/12	1653
24229	20120107	1753	11	SCT020 BKN150 BKN250	6	SCT	BKN	BKN	 	10	 	42	5.6	89	0	 	 	 	1/7/12	1753
24229	20120107	1853	11	FEW020 BKN150	6	FEW	BKN	0	 	8	 	41	5	93	0	 	 	 	1/7/12	1853
24229	20120107	1953	11	FEW020 SCT150 BKN250	6	FEW	SCT	BKN	 	7	 	39	3.9	93	0	 	 	 	1/7/12	1953
24229	20120107	2053	11	SCT005 SCT250	4	SCT	SCT	0	 	4	BR	37	2.8	100	0	 	 	 	1/7/12	2053
24229	20120107	2153	11	VV003	8	VV0	0	0	 	0.25	FG	35	1.7	96	0	 	 	 	1/7/12	2153
24229	20120107	2253	11	VV002	8	VV0	0	0	 	0	FG	38	3.3	96	5	 	 	 	1/7/12	2253
24229	20120107	2353	11	VV002	8	VV0	0	0	 	0	FG	38	3.3	96	5	 	 	 	1/7/12	2353
24229	20120108	53	11	OVC002	8	OVC	0	0	 	0	FG	36	2.2	100	3	 	 	 	1/8/12	53
24229	20120108	153	11	VV002	8	VV0	0	0	 	0	FG	35	1.7	96	3	 	 	 	1/8/12	153
24229	20120108	253	11	OVC002	8	OVC	0	0	 	0	FG	35	1.7	100	0	 	 	 	1/8/12	253
24229	20120108	353	11	OVC002	8	OVC	0	0	 	0	FG	34	1.1	100	0	 	 	 	1/8/12	353
24229	20120108	453	11	VV002	8	VV0	0	0	 	0	FG	34	1.1	96	0	 	 	 	1/8/12	453
24229	20120108	553	11	VV002	8	VV0	0	0	 	0	FG	35	1.7	96	0	 	 	 	1/8/12	553
24229	20120108	653	11	VV002	8	VV0	0	0	 	0	FG	34	1.1	100	3	 	 	 	1/8/12	653
24229	20120108	753	11	VV002	8	VV0	0	0	 	0	FG	34	1.1	96	0	 	 	 	1/8/12	753
24229	20120108	853	11	VV002	8	VV0	0	0	 	0	FG	35	1.7	96	0	 	 	 	1/8/12	853
24229	20120108	953	11	VV002	8	VV0	0	0	 	0	FG	35	1.7	96	0	 	 	 	1/8/12	953
24229	20120108	1053	11	VV002	8	VV0	0	0	 	0.25	FG	36	2.2	96	0	 	 	 	1/8/12	1053
24229	20120108	1153	11	VV002	8	VV0	0	0	 	0.25	FG	37	2.8	96	0	 	 	 	1/8/12	1153
24229	20120108	1253	11	OVC002	8	OVC	0	0	 	0.5	BR	37	2.8	96	0	 	 	 	1/8/12	1253
24229	20120108	1353	11	SCT003	4	SCT	0	0	 	1.5	BR	40	4.4	89	0	 	 	 	1/8/12	1353
24229	20120108	1453	11	CLR	0	CLR	0	0	 	10	 	44	6.7	80	0	 	 	 	1/8/12	1453
24229	20120108	1553	11	CLR	0	CLR	0	0	 	10	 	44	6.7	80	0	 	 	 	1/8/12	1553
24229	20120108	1653	11	CLR	0	CLR	0	0	 	10	 	42	5.6	83	0	 	 	 	1/8/12	1653
24229	20120108	1753	11	CLR	0	CLR	0	0	 	10	 	40	4.4	86	0	 	 	 	1/8/12	1753
24229	20120108	1853	11	CLR	0	CLR	0	0	 	5	BR	38	3.3	93	0	 	 	 	1/8/12	1853
24229	20120108	1953	11	BKN003	6	BKN	0	0	 	0.25	BR	36	2.2	96	6	 	 	 	1/8/12	1953
24229	20120108	2053	11	VV002	8	VV0	0	0	 	0.25	FG	37	2.8	96	7	 	 	 	1/8/12	2053
24229	20120108	2153	11	VV002	8	VV0	0	0	 	0.25	BR	38	3.3	96	6	 	 	 	1/8/12	2153
24229	20120108	2253	11	VV002	8	VV0	0	0	 	0.25	BR	37	2.8	96	6	 	 	 	1/8/12	2253
24229	20120108	2353	11	VV002	8	VV0	0	0	 	0.25	FG	36	2.2	96	5	 	 	 	1/8/12	2353
24229	20120109	53	11	VV002	8	VV0	0	0	 	0.25	FG	36	2.2	96	3	 	 	 	1/9/12	53
24229	20120109	153	11	VV002	8	VV0	0	0	 	0.25	FG	35	1.7	96	0	 	 	 	1/9/12	153
24229	20120109	253	11	VV002	8	VV0	0	0	 	0.25	FG	36	2.2	96	0	 	 	 	1/9/12	253
24229	20120109	353	11	VV002	8	VV0	0	0	 	0.12	FG	36	2.2	96	0	 	 	 	1/9/12	353
24229	20120109	453	11	OVC002	8	OVC	0	0	 	0.12	BR	35	1.7	96	7	 	 	 	1/9/12	453
24229	20120109	553	11	FEW002 BKN004 OVC010	8	FEW	BKN	OVC	 	4	BR	35	1.7	96	3	 	 	 	1/9/12	553
24229	20120109	653	11	SCT004 BKN140	6	SCT	BKN	0	 	6	BR	35	1.7	96	0	 	 	 	1/9/12	653
24229	20120109	753	11	BKN002 BKN150	6	BKN	BKN	0	 	0.12	 	35	1.7	100	0	 	 	 	1/9/12	753
24229	20120109	853	11	BKN002 OVC150	8	BKN	OVC	0	 	0.5	BR	36	2.2	96	0	 	 	 	1/9/12	853
24229	20120109	953	11	BKN002 BKN150	6	BKN	BKN	0	 	1	BR	36	2.2	92	0	 	 	 	1/9/12	953
24229	20120109	1053	11	SCT006 OVC120	8	SCT	OVC	0	 	3	BR	37	2.8	93	0	 	 	 	1/9/12	1053
24229	20120109	1153	11	FEW006 BKN120 BKN250	6	FEW	BKN	BKN	 	7	 	39	3.9	86	0	 	 	 	1/9/12	1153
24229	20120109	1253	11	SCT006 BKN120 OVC250	8	SCT	BKN	OVC	 	5	BR	40	4.4	86	0	 	 	 	1/9/12	1253
24229	20120109	1353	11	FEW006 BKN120 OVC250	8	FEW	BKN	OVC	 	7	 	41	5	82	0	 	 	 	1/9/12	1353
24229	20120109	1453	11	FEW008 BKN065 BKN150	6	FEW	BKN	BKN	 	7	 	41	5	86	3	 	 	 	1/9/12	1453
24229	20120109	1553	11	FEW008 BKN055 BKN150	6	FEW	BKN	BKN	 	8	 	43	6.1	79	0	 	 	 	1/9/12	1553
24229	20120109	1653	11	FEW013 BKN047 OVC130	8	FEW	BKN	OVC	 	10	 	43	6.1	83	0	 	  T	 	1/9/12	1653
24229	20120109	1753	11	SCT019 OVC038	8	SCT	OVC	0	 	8	#NAME?	43	6.1	86	0	 	0.01	 	1/9/12	1753
24229	20120109	1853	11	BKN011 OVC014	8	BKN	OVC	0	 	3	#NAME?	42	5.6	93	0	 	0.01	 	1/9/12	1853
24229	20120109	1953	11	BKN005 OVC010	8	BKN	OVC	0	 	2	#NAME?	41	5	96	0	 	0.02	 	1/9/12	1953
24229	20120109	2053	11	BKN007 OVC015	8	BKN	OVC	0	 	2	#NAME?	42	5.6	93	0	 	0.07	 	1/9/12	2053
