WBAN,Date,Time,StationType,SkyCondition,ConvertSky,SC1,SC2,SC3,Year,Month,Day,Hour,RealDate,TimeCheck
24229,20120103,2153,11,SCT090 BKN250,6,SCT,BKN,0,2012,1,3,22,1/3/2012,2153
24229,20120103,2253,11,BKN250,6,BKN,0,0,2012,1,3,23,1/3/2012,2253
24229,20120103,2353,11,BKN250,6,BKN,0,0,2012,1,3,24,1/3/2012,2353
24229,20120104,53,11,BKN250,6,BKN,0,0,2012,1,4,1,1/4/2012,53
24229,20120104,153,11,FEW150 BKN250,6,FEW,BKN,0,2012,1,4,2,1/4/2012,153
24229,20120104,253,11,SCT090 BKN250,6,SCT,BKN,0,2012,1,4,3,1/4/2012,253
24229,20120104,353,11,SCT100 BKN250,6,SCT,BKN,0,2012,1,4,4,1/4/2012,353
24229,20120104,453,11,BKN250,6,BKN,0,0,2012,1,4,5,1/4/2012,453
24229,20120104,553,11,BKN250,6,BKN,0,0,2012,1,4,6,1/4/2012,553
24229,20120104,653,11,BKN250,6,BKN,0,0,2012,1,4,7,1/4/2012,653
24229,20120104,753,11,SCT250,4,SCT,0,0,2012,1,4,8,1/4/2012,753
24229,20120104,853,11,FEW200 BKN250,6,FEW,BKN,0,2012,1,4,9,1/4/2012,853
24229,20120104,953,11,FEW200 BKN250,6,FEW,BKN,0,2012,1,4,10,1/4/2012,953
24229,20120104,1053,11,BKN095 BKN250,6,BKN,BKN,0,2012,1,4,11,1/4/2012,1053
24229,20120104,1153,11,OVC095,8,OVC,0,0,2012,1,4,12,1/4/2012,1153
24229,20120104,1253,11,BKN060 OVC085,8,BKN,OVC,0,2012,1,4,13,1/4/2012,1253
24229,20120104,1353,11,BKN050 OVC090,8,BKN,OVC,0,2012,1,4,14,1/4/2012,1353
24229,20120104,1453,11,FEW035 BKN047 OVC070,8,FEW,BKN,OVC,2012,1,4,15,1/4/2012,1453
24229,20120104,1553,11,SCT027 BKN044 OVC055,8,SCT,BKN,OVC,2012,1,4,16,1/4/2012,1553
24229,20120104,1653,11,FEW015 BKN044 OVC055,8,FEW,BKN,OVC,2012,1,4,17,1/4/2012,1653
24229,20120104,1753,11,FEW013 BKN055 OVC080,8,FEW,BKN,OVC,2012,1,4,18,1/4/2012,1753
24229,20120104,1853,11,FEW013 BKN075 OVC100,8,FEW,BKN,OVC,2012,1,4,19,1/4/2012,1853
24229,20120104,1953,11,SCT013 BKN040 OVC090,8,SCT,BKN,OVC,2012,1,4,20,1/4/2012,1953
24229,20120104,2053,11,SCT013 BKN045 OVC075,8,SCT,BKN,OVC,2012,1,4,21,1/4/2012,2053
24229,20120104,2153,11,FEW013 BKN050 OVC080,8,FEW,BKN,OVC,2012,1,4,22,1/4/2012,2153
24229,20120104,2253,11,FEW013 SCT080 BKN200,6,FEW,SCT,BKN,2012,1,4,23,1/4/2012,2253
24229,20120104,2353,11,SCT100 BKN250,6,SCT,BKN,0,2012,1,4,24,1/4/2012,2353
24229,20120105,53,11,BKN060 BKN100,6,BKN,BKN,0,2012,1,5,1,1/5/2012,53
24229,20120105,153,11,SCT065 SCT250,4,SCT,SCT,0,2012,1,5,2,1/5/2012,153
24229,20120105,253,11,BKN065,6,BKN,0,0,2012,1,5,3,1/5/2012,253
24229,20120105,353,11,FEW065 BKN085,6,FEW,BKN,0,2012,1,5,4,1/5/2012,353
24229,20120105,453,11,FEW032 BKN050 BKN065,6,FEW,BKN,BKN,2012,1,5,5,1/5/2012,453
24229,20120105,553,11,BKN043 OVC055,8,BKN,OVC,0,2012,1,5,6,1/5/2012,553
24229,20120105,653,11,SCT035 BKN070 OVC100,8,SCT,BKN,OVC,2012,1,5,7,1/5/2012,653
24229,20120105,753,11,FEW035 SCT070,4,FEW,SCT,0,2012,1,5,8,1/5/2012,753
24229,20120105,853,11,FEW030 SCT044 BKN060,6,FEW,SCT,BKN,2012,1,5,9,1/5/2012,853
24229,20120105,953,11,FEW017 SCT070 BKN085,6,FEW,SCT,BKN,2012,1,5,10,1/5/2012,953
24229,20120105,1053,11,FEW017 SCT080 SCT250,4,FEW,SCT,SCT,2012,1,5,11,1/5/2012,1053
24229,20120105,1153,11,SCT040 BKN075 BKN085,6,SCT,BKN,BKN,2012,1,5,12,1/5/2012,1153
24229,20120105,1253,11,SCT048 BKN075,6,SCT,BKN,0,2012,1,5,13,1/5/2012,1253
24229,20120105,1353,11,SCT048 BKN075,6,SCT,BKN,0,2012,1,5,14,1/5/2012,1353
24229,20120105,1453,11,SCT035 SCT250,4,SCT,SCT,0,2012,1,5,15,1/5/2012,1453
24229,20120105,1553,11,SCT045 BKN060,6,SCT,BKN,0,2012,1,5,16,1/5/2012,1553
24229,20120105,1653,11,SCT045 BKN060,6,SCT,BKN,0,2012,1,5,17,1/5/2012,1653
24229,20120105,1753,11,FEW045 BKN065,6,FEW,BKN,0,2012,1,5,18,1/5/2012,1753
24229,20120105,1853,11,FEW065,2,FEW,0,0,2012,1,5,19,1/5/2012,1853
24229,20120105,1953,11,CLR,0,CLR,0,0,2012,1,5,20,1/5/2012,1953
24229,20120105,2053,11,CLR,0,CLR,0,0,2012,1,5,21,1/5/2012,2053
24229,20120105,2153,11,CLR,0,CLR,0,0,2012,1,5,22,1/5/2012,2153
24229,20120105,2253,11,CLR,0,CLR,0,0,2012,1,5,23,1/5/2012,2253
24229,20120105,2353,11,FEW030 BKN065,6,FEW,BKN,0,2012,1,5,24,1/5/2012,2353
24229,20120106,53,11,SCT028 BKN065,6,SCT,BKN,0,2012,1,6,1,1/6/2012,53
24229,20120106,153,11,BKN002 OVC009,8,BKN,OVC,0,2012,1,6,2,1/6/2012,153
24229,20120106,253,11,BKN002 OVC009,8,BKN,OVC,0,2012,1,6,3,1/6/2012,253
24229,20120106,353,11,VV002,8,VV0,0,0,2012,1,6,4,1/6/2012,353
24229,20120106,453,11,BKN003 OVC008,8,BKN,OVC,0,2012,1,6,5,1/6/2012,453
24229,20120106,553,11,SCT003 OVC008,8,SCT,OVC,0,2012,1,6,6,1/6/2012,553
24229,20120106,653,11,BKN003 OVC008,8,BKN,OVC,0,2012,1,6,7,1/6/2012,653
24229,20120106,753,11,OVC003,8,OVC,0,0,2012,1,6,8,1/6/2012,753
24229,20120106,853,11,OVC003,8,OVC,0,0,2012,1,6,9,1/6/2012,853
24229,20120106,953,11,OVC003,8,OVC,0,0,2012,1,6,10,1/6/2012,953
24229,20120106,1053,11,OVC003,8,OVC,0,0,2012,1,6,11,1/6/2012,1053
24229,20120106,1153,11,OVC003,8,OVC,0,0,2012,1,6,12,1/6/2012,1153
24229,20120106,1253,11,OVC005,8,OVC,0,0,2012,1,6,13,1/6/2012,1253
24229,20120106,1353,11,OVC005,8,OVC,0,0,2012,1,6,14,1/6/2012,1353
24229,20120106,1453,11,OVC005,8,OVC,0,0,2012,1,6,15,1/6/2012,1453
24229,20120106,1553,11,OVC005,8,OVC,0,0,2012,1,6,16,1/6/2012,1553
24229,20120106,1653,11,BKN008 BKN016 OVC022,8,BKN,BKN,OVC,2012,1,6,17,1/6/2012,1653
24229,20120106,1753,11,BKN010 BKN020 OVC030,8,BKN,BKN,OVC,2012,1,6,18,1/6/2012,1753
24229,20120106,1853,11,FEW010 BKN019 OVC023,8,FEW,BKN,OVC,2012,1,6,19,1/6/2012,1853
24229,20120106,1953,11,BKN009 OVC012,8,BKN,OVC,0,2012,1,6,20,1/6/2012,1953
24229,20120106,2053,11,BKN009 OVC019,8,BKN,OVC,0,2012,1,6,21,1/6/2012,2053
24229,20120106,2153,11,BKN006 OVC015,8,BKN,OVC,0,2012,1,6,22,1/6/2012,2153
24229,20120106,2253,11,SCT008 OVC015,8,SCT,OVC,0,2012,1,6,23,1/6/2012,2253
24229,20120106,2353,11,FEW008 SCT017 OVC023,8,FEW,SCT,OVC,2012,1,6,24,1/6/2012,2353
24229,20120107,53,11,OVC015,8,OVC,0,0,2012,1,7,1,1/7/2012,53
24229,20120107,153,11,BKN010 OVC013,8,BKN,OVC,0,2012,1,7,2,1/7/2012,153
24229,20120107,253,11,FEW004 OVC013,8,FEW,OVC,0,2012,1,7,3,1/7/2012,253
24229,20120107,353,11,FEW004 OVC011,8,FEW,OVC,0,2012,1,7,4,1/7/2012,353
24229,20120107,453,11,FEW004 OVC011,8,FEW,OVC,0,2012,1,7,5,1/7/2012,453
24229,20120107,553,11,OVC013,8,OVC,0,0,2012,1,7,6,1/7/2012,553
24229,20120107,653,11,OVC013,8,OVC,0,0,2012,1,7,7,1/7/2012,653
24229,20120107,753,11,OVC013,8,OVC,0,0,2012,1,7,8,1/7/2012,753
24229,20120107,853,11,FEW008 OVC013,8,FEW,OVC,0,2012,1,7,9,1/7/2012,853
24229,20120107,953,11,OVC013,8,OVC,0,0,2012,1,7,10,1/7/2012,953
24229,20120107,1053,11,FEW005 OVC013,8,FEW,OVC,0,2012,1,7,11,1/7/2012,1053
24229,20120107,1153,11,OVC017,8,OVC,0,0,2012,1,7,12,1/7/2012,1153
24229,20120107,1253,11,OVC017,8,OVC,0,0,2012,1,7,13,1/7/2012,1253
24229,20120107,1353,11,SCT017 OVC023,8,SCT,OVC,0,2012,1,7,14,1/7/2012,1353
24229,20120107,1453,11,SCT023 BKN150 OVC250,8,SCT,BKN,OVC,2012,1,7,15,1/7/2012,1453
24229,20120107,1553,11,SCT021 BKN150 BKN250,6,SCT,BKN,BKN,2012,1,7,16,1/7/2012,1553
24229,20120107,1653,11,SCT020 BKN150 BKN250,6,SCT,BKN,BKN,2012,1,7,17,1/7/2012,1653
24229,20120107,1753,11,SCT020 BKN150 BKN250,6,SCT,BKN,BKN,2012,1,7,18,1/7/2012,1753
24229,20120107,1853,11,FEW020 BKN150,6,FEW,BKN,0,2012,1,7,19,1/7/2012,1853
24229,20120107,1953,11,FEW020 SCT150 BKN250,6,FEW,SCT,BKN,2012,1,7,20,1/7/2012,1953
24229,20120107,2053,11,SCT005 SCT250,4,SCT,SCT,0,2012,1,7,21,1/7/2012,2053
24229,20120107,2153,11,VV003,8,VV0,0,0,2012,1,7,22,1/7/2012,2153
24229,20120107,2253,11,VV002,8,VV0,0,0,2012,1,7,23,1/7/2012,2253
24229,20120107,2353,11,VV002,8,VV0,0,0,2012,1,7,24,1/7/2012,2353
24229,20120108,53,11,OVC002,8,OVC,0,0,2012,1,8,1,1/8/2012,53
24229,20120108,153,11,VV002,8,VV0,0,0,2012,1,8,2,1/8/2012,153
24229,20120108,253,11,OVC002,8,OVC,0,0,2012,1,8,3,1/8/2012,253
24229,20120108,353,11,OVC002,8,OVC,0,0,2012,1,8,4,1/8/2012,353
24229,20120108,453,11,VV002,8,VV0,0,0,2012,1,8,5,1/8/2012,453
24229,20120108,553,11,VV002,8,VV0,0,0,2012,1,8,6,1/8/2012,553
24229,20120108,653,11,VV002,8,VV0,0,0,2012,1,8,7,1/8/2012,653
24229,20120108,753,11,VV002,8,VV0,0,0,2012,1,8,8,1/8/2012,753
24229,20120108,853,11,VV002,8,VV0,0,0,2012,1,8,9,1/8/2012,853
24229,20120108,953,11,VV002,8,VV0,0,0,2012,1,8,10,1/8/2012,953
24229,20120108,1053,11,VV002,8,VV0,0,0,2012,1,8,11,1/8/2012,1053
24229,20120108,1153,11,VV002,8,VV0,0,0,2012,1,8,12,1/8/2012,1153
24229,20120108,1253,11,OVC002,8,OVC,0,0,2012,1,8,13,1/8/2012,1253
24229,20120108,1353,11,SCT003,4,SCT,0,0,2012,1,8,14,1/8/2012,1353
24229,20120108,1453,11,CLR,0,CLR,0,0,2012,1,8,15,1/8/2012,1453
24229,20120108,1553,11,CLR,0,CLR,0,0,2012,1,8,16,1/8/2012,1553
24229,20120108,1653,11,CLR,0,CLR,0,0,2012,1,8,17,1/8/2012,1653
24229,20120108,1753,11,CLR,0,CLR,0,0,2012,1,8,18,1/8/2012,1753
24229,20120108,1853,11,CLR,0,CLR,0,0,2012,1,8,19,1/8/2012,1853
24229,20120108,1953,11,BKN003,6,BKN,0,0,2012,1,8,20,1/8/2012,1953
24229,20120108,2053,11,VV002,8,VV0,0,0,2012,1,8,21,1/8/2012,2053
24229,20120108,2153,11,VV002,8,VV0,0,0,2012,1,8,22,1/8/2012,2153
24229,20120108,2253,11,VV002,8,VV0,0,0,2012,1,8,23,1/8/2012,2253
24229,20120108,2353,11,VV002,8,VV0,0,0,2012,1,8,24,1/8/2012,2353
24229,20120109,53,11,VV002,8,VV0,0,0,2012,1,9,1,1/9/2012,53
24229,20120109,153,11,VV002,8,VV0,0,0,2012,1,9,2,1/9/2012,153
24229,20120109,253,11,VV002,8,VV0,0,0,2012,1,9,3,1/9/2012,253
24229,20120109,353,11,VV002,8,VV0,0,0,2012,1,9,4,1/9/2012,353
24229,20120109,453,11,OVC002,8,OVC,0,0,2012,1,9,5,1/9/2012,453
24229,20120109,553,11,FEW002 BKN004 OVC010,8,FEW,BKN,OVC,2012,1,9,6,1/9/2012,553
24229,20120109,653,11,SCT004 BKN140,6,SCT,BKN,0,2012,1,9,7,1/9/2012,653
24229,20120109,753,11,BKN002 BKN150,6,BKN,BKN,0,2012,1,9,8,1/9/2012,753
24229,20120109,853,11,BKN002 OVC150,8,BKN,OVC,0,2012,1,9,9,1/9/2012,853
24229,20120109,953,11,BKN002 BKN150,6,BKN,BKN,0,2012,1,9,10,1/9/2012,953
24229,20120109,1053,11,SCT006 OVC120,8,SCT,OVC,0,2012,1,9,11,1/9/2012,1053
24229,20120109,1153,11,FEW006 BKN120 BKN250,6,FEW,BKN,BKN,2012,1,9,12,1/9/2012,1153
24229,20120109,1253,11,SCT006 BKN120 OVC250,8,SCT,BKN,OVC,2012,1,9,13,1/9/2012,1253
24229,20120109,1353,11,FEW006 BKN120 OVC250,8,FEW,BKN,OVC,2012,1,9,14,1/9/2012,1353
24229,20120109,1453,11,FEW008 BKN065 BKN150,6,FEW,BKN,BKN,2012,1,9,15,1/9/2012,1453
24229,20120109,1553,11,FEW008 BKN055 BKN150,6,FEW,BKN,BKN,2012,1,9,16,1/9/2012,1553
24229,20120109,1653,11,FEW013 BKN047 OVC130,8,FEW,BKN,OVC,2012,1,9,17,1/9/2012,1653
24229,20120109,1753,11,SCT019 OVC038,8,SCT,OVC,0,2012,1,9,18,1/9/2012,1753
24229,20120109,1853,11,BKN011 OVC014,8,BKN,OVC,0,2012,1,9,19,1/9/2012,1853
24229,20120109,1953,11,BKN005 OVC010,8,BKN,OVC,0,2012,1,9,20,1/9/2012,1953
24229,20120109,2053,11,BKN007 OVC015,8,BKN,OVC,0,2012,1,9,21,1/9/2012,2053
24229,20120109,2153,11,FEW007 BKN028 OVC037,8,FEW,BKN,OVC,2012,1,9,22,1/9/2012,2153
24229,20120109,2253,11,FEW007 BKN032 OVC037,8,FEW,BKN,OVC,2012,1,9,23,1/9/2012,2253
24229,20120109,2353,11,FEW007 OVC037,8,FEW,OVC,0,2012,1,9,24,1/9/2012,2353
24229,20120110,53,11,FEW007 SCT040 OVC055,8,FEW,SCT,OVC,2012,1,10,1,1/10/2012,53
24229,20120110,153,11,FEW075 OVC090,8,FEW,OVC,0,2012,1,10,2,1/10/2012,153
24229,20120110,253,11,FEW090 SCT250,4,FEW,SCT,0,2012,1,10,3,1/10/2012,253
24229,20120110,353,11,SCT090 SCT250,4,SCT,SCT,0,2012,1,10,4,1/10/2012,353
24229,20120110,453,11,SCT035,4,SCT,0,0,2012,1,10,5,1/10/2012,453
24229,20120110,553,11,SCT035 SCT250,4,SCT,SCT,0,2012,1,10,6,1/10/2012,553
24229,20120110,653,11,OVC040,8,OVC,0,0,2012,1,10,7,1/10/2012,653
24229,20120110,753,11,OVC038,8,OVC,0,0,2012,1,10,8,1/10/2012,753
24229,20120110,853,11,OVC038,8,OVC,0,0,2012,1,10,9,1/10/2012,853
24229,20120110,953,11,OVC042,8,OVC,0,0,2012,1,10,10,1/10/2012,953
24229,20120110,1053,11,OVC040,8,OVC,0,0,2012,1,10,11,1/10/2012,1053
24229,20120110,1153,11,OVC042,8,OVC,0,0,2012,1,10,12,1/10/2012,1153
24229,20120110,1253,11,BKN040,6,BKN,0,0,2012,1,10,13,1/10/2012,1253
24229,20120110,1353,11,BKN042,6,BKN,0,0,2012,1,10,14,1/10/2012,1353
24229,20120110,1453,11,SCT034 BKN043,6,SCT,BKN,0,2012,1,10,15,1/10/2012,1453
24229,20120110,1553,11,FEW037 SCT048 SCT200,4,FEW,SCT,SCT,2012,1,10,16,1/10/2012,1553
24229,20120110,1653,11,FEW040 SCT200,4,FEW,SCT,0,2012,1,10,17,1/10/2012,1653
24229,20120110,1753,11,FEW040,2,FEW,0,0,2012,1,10,18,1/10/2012,1753
24229,20120110,1853,11,FEW035,2,FEW,0,0,2012,1,10,19,1/10/2012,1853
24229,20120110,1953,11,FEW030,2,FEW,0,0,2012,1,10,20,1/10/2012,1953
24229,20120110,2053,11,CLR,0,CLR,0,0,2012,1,10,21,1/10/2012,2053
24229,20120110,2153,11,CLR,0,CLR,0,0,2012,1,10,22,1/10/2012,2153
24229,20120110,2253,11,FEW250,2,FEW,0,0,2012,1,10,23,1/10/2012,2253
24229,20120110,2353,11,CLR,0,CLR,0,0,2012,1,10,24,1/10/2012,2353
24229,20120111,53,11,CLR,0,CLR,0,0,2012,1,11,1,1/11/2012,53
24229,20120111,153,11,CLR,0,CLR,0,0,2012,1,11,2,1/11/2012,153
24229,20120111,253,11,CLR,0,CLR,0,0,2012,1,11,3,1/11/2012,253
24229,20120111,353,11,CLR,0,CLR,0,0,2012,1,11,4,1/11/2012,353
24229,20120111,453,11,FEW250,2,FEW,0,0,2012,1,11,5,1/11/2012,453
24229,20120111,553,11,BKN250,6,BKN,0,0,2012,1,11,6,1/11/2012,553
24229,20120111,653,11,BKN250,6,BKN,0,0,2012,1,11,7,1/11/2012,653
24229,20120111,753,11,OVC200,8,OVC,0,0,2012,1,11,8,1/11/2012,753
24229,20120111,853,11,BKN200,6,BKN,0,0,2012,1,11,9,1/11/2012,853
24229,20120111,953,11,BKN200,6,BKN,0,0,2012,1,11,10,1/11/2012,953
24229,20120111,1053,11,BKN200,6,BKN,0,0,2012,1,11,11,1/11/2012,1053
24229,20120111,1153,11,SCT200,4,SCT,0,0,2012,1,11,12,1/11/2012,1153
24229,20120111,1253,11,FEW200,2,FEW,0,0,2012,1,11,13,1/11/2012,1253
24229,20120111,1353,11,FEW200,2,FEW,0,0,2012,1,11,14,1/11/2012,1353
24229,20120111,1453,11,FEW200,2,FEW,0,0,2012,1,11,15,1/11/2012,1453
24229,20120111,1553,11,FEW200,2,FEW,0,0,2012,1,11,16,1/11/2012,1553
24229,20120111,1653,11,FEW200,2,FEW,0,0,2012,1,11,17,1/11/2012,1653
24229,20120111,1753,11,CLR,0,CLR,0,0,2012,1,11,18,1/11/2012,1753
24229,20120111,1853,11,CLR,0,CLR,0,0,2012,1,11,19,1/11/2012,1853
24229,20120111,1953,11,CLR,0,CLR,0,0,2012,1,11,20,1/11/2012,1953
24229,20120111,2053,11,CLR,0,CLR,0,0,2012,1,11,21,1/11/2012,2053
24229,20120111,2153,11,CLR,0,CLR,0,0,2012,1,11,22,1/11/2012,2153
24229,20120111,2253,11,CLR,0,CLR,0,0,2012,1,11,23,1/11/2012,2253
24229,20120111,2353,11,FEW250,2,FEW,0,0,2012,1,11,24,1/11/2012,2353
24229,20120112,53,11,FEW250,2,FEW,0,0,2012,1,12,1,1/12/2012,53
24229,20120112,153,11,FEW250,2,FEW,0,0,2012,1,12,2,1/12/2012,153
24229,20120112,253,11,FEW250,2,FEW,0,0,2012,1,12,3,1/12/2012,253
24229,20120112,353,11,FEW250,2,FEW,0,0,2012,1,12,4,1/12/2012,353
24229,20120112,453,11,FEW250,2,FEW,0,0,2012,1,12,5,1/12/2012,453
24229,20120112,553,11,FEW250,2,FEW,0,0,2012,1,12,6,1/12/2012,553
24229,20120112,653,11,FEW250,2,FEW,0,0,2012,1,12,7,1/12/2012,653
24229,20120112,753,11,SCT250,4,SCT,0,0,2012,1,12,8,1/12/2012,753
24229,20120112,853,11,BKN250,6,BKN,0,0,2012,1,12,9,1/12/2012,853
24229,20120112,953,11,BKN250,6,BKN,0,0,2012,1,12,10,1/12/2012,953
24229,20120112,1053,11,CLR,0,CLR,0,0,2012,1,12,11,1/12/2012,1053
24229,20120112,1153,11,SCT250,4,SCT,0,0,2012,1,12,12,1/12/2012,1153
